FC:C3:AF:BD:83:9A -> {x : 0.075, y : 0.748, z : 0.657}
FC:C3:AF:BD:83:9A -> {x : 0.070, y : 0.751, z : 0.661}
FC:C3:AF:BD:83:9A -> {x : 0.061, y : 0.746, z : 0.666}
FC:C3:AF:BD:83:9A -> {x : 0.050, y : 0.731, z : 0.659}
FC:C3:AF:BD:83:9A -> {x : 0.042, y : 0.724, z : 0.655}
FC:C3:AF:BD:83:9A -> {x : 0.031, y : 0.725, z : 0.653}
FC:C3:AF:BD:83:9A -> {x : 0.016, y : 0.724, z : 0.653}
FC:C3:AF:BD:83:9A -> {x : 0.012, y : 0.726, z : 0.649}
FC:C3:AF:BD:83:9A -> {x : 0.009, y : 0.722, z : 0.649}
FC:C3:AF:BD:83:9A -> {x : 0.014, y : 0.720, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.021, y : 0.723, z : 0.647}
FC:C3:AF:BD:83:9A -> {x : 0.035, y : 0.729, z : 0.645}
FC:C3:AF:BD:83:9A -> {x : 0.048, y : 0.736, z : 0.644}
FC:C3:AF:BD:83:9A -> {x : 0.060, y : 0.739, z : 0.645}
FC:C3:AF:BD:83:9A -> {x : 0.063, y : 0.736, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.055, y : 0.731, z : 0.647}
FC:C3:AF:BD:83:9A -> {x : 0.045, y : 0.728, z : 0.652}
FC:C3:AF:BD:83:9A -> {x : 0.035, y : 0.727, z : 0.651}
FC:C3:AF:BD:83:9A -> {x : 0.029, y : 0.726, z : 0.650}
FC:C3:AF:BD:83:9A -> {x : 0.028, y : 0.728, z : 0.650}
FC:C3:AF:BD:83:9A -> {x : 0.035, y : 0.729, z : 0.649}
FC:C3:AF:BD:83:9A -> {x : 0.043, y : 0.729, z : 0.647}
FC:C3:AF:BD:83:9A -> {x : 0.049, y : 0.731, z : 0.647}
FC:C3:AF:BD:83:9A -> {x : 0.051, y : 0.733, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.048, y : 0.735, z : 0.643}
FC:C3:AF:BD:83:9A -> {x : 0.043, y : 0.735, z : 0.645}
FC:C3:AF:BD:83:9A -> {x : 0.041, y : 0.734, z : 0.647}
FC:C3:AF:BD:83:9A -> {x : 0.037, y : 0.732, z : 0.647}
FC:C3:AF:BD:83:9A -> {x : 0.036, y : 0.727, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.039, y : 0.726, z : 0.648}
FC:C3:AF:BD:83:9A -> {x : 0.044, y : 0.728, z : 0.647}
FC:C3:AF:BD:83:9A -> {x : 0.047, y : 0.731, z : 0.645}
FC:C3:AF:BD:83:9A -> {x : 0.045, y : 0.734, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.043, y : 0.735, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.045, y : 0.735, z : 0.645}
FC:C3:AF:BD:83:9A -> {x : 0.042, y : 0.732, z : 0.644}
FC:C3:AF:BD:83:9A -> {x : 0.038, y : 0.730, z : 0.645}
FC:C3:AF:BD:83:9A -> {x : 0.040, y : 0.727, z : 0.648}
FC:C3:AF:BD:83:9A -> {x : 0.040, y : 0.728, z : 0.649}
FC:C3:AF:BD:83:9A -> {x : 0.039, y : 0.731, z : 0.647}
FC:C3:AF:BD:83:9A -> {x : 0.040, y : 0.732, z : 0.648}
FC:C3:AF:BD:83:9A -> {x : 0.041, y : 0.732, z : 0.645}
FC:C3:AF:BD:83:9A -> {x : 0.042, y : 0.733, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.042, y : 0.733, z : 0.649}
FC:C3:AF:BD:83:9A -> {x : 0.041, y : 0.730, z : 0.649}
FC:C3:AF:BD:83:9A -> {x : 0.043, y : 0.731, z : 0.647}
FC:C3:AF:BD:83:9A -> {x : 0.042, y : 0.729, z : 0.649}
FC:C3:AF:BD:83:9A -> {x : 0.041, y : 0.727, z : 0.648}
FC:C3:AF:BD:83:9A -> {x : 0.046, y : 0.729, z : 0.647}
FC:C3:AF:BD:83:9A -> {x : 0.045, y : 0.731, z : 0.648}
FC:C3:AF:BD:83:9A -> {x : 0.042, y : 0.733, z : 0.647}
FC:C3:AF:BD:83:9A -> {x : 0.037, y : 0.733, z : 0.647}
FC:C3:AF:BD:83:9A -> {x : 0.034, y : 0.731, z : 0.643}
FC:C3:AF:BD:83:9A -> {x : 0.031, y : 0.731, z : 0.647}
FC:C3:AF:BD:83:9A -> {x : 0.029, y : 0.729, z : 0.650}
FC:C3:AF:BD:83:9A -> {x : 0.035, y : 0.728, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.037, y : 0.728, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.039, y : 0.730, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.043, y : 0.731, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.043, y : 0.733, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.042, y : 0.733, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.042, y : 0.731, z : 0.644}
FC:C3:AF:BD:83:9A -> {x : 0.041, y : 0.732, z : 0.641}
FC:C3:AF:BD:83:9A -> {x : 0.044, y : 0.730, z : 0.645}
FC:C3:AF:BD:83:9A -> {x : 0.042, y : 0.730, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.038, y : 0.729, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.035, y : 0.732, z : 0.645}
FC:C3:AF:BD:83:9A -> {x : 0.035, y : 0.734, z : 0.647}
FC:C3:AF:BD:83:9A -> {x : 0.036, y : 0.736, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.041, y : 0.734, z : 0.648}
FC:C3:AF:BD:83:9A -> {x : 0.043, y : 0.733, z : 0.654}
FC:C3:AF:BD:83:9A -> {x : 0.045, y : 0.733, z : 0.656}
FC:C3:AF:BD:83:9A -> {x : 0.050, y : 0.730, z : 0.654}
FC:C3:AF:BD:83:9A -> {x : 0.056, y : 0.728, z : 0.650}
FC:C3:AF:BD:83:9A -> {x : 0.063, y : 0.729, z : 0.649}
FC:C3:AF:BD:83:9A -> {x : 0.065, y : 0.731, z : 0.646}
